Review ID,Username,Rating,Review Text,Date
ab702a1a-0183-4c69-a07d-c1e49024ec58,Pengguna Google,1,"cs nya susah mau aduin komplain, ga simple banget kalo ada kendala",2025-10-01 11:56:31
6fcfee32-8878-4ccb-8bea-7e564ab30b56,Pengguna Google,2,lumayan,2025-10-01 11:47:47
4eab9334-86da-44de-ab3a-8fe6c88dac27,Pengguna Google,5,bagus,2025-10-01 11:45:58
520ed184-0cc1-44fa-a0fa-e8bd03731958,Pengguna Google,5,mantap,2025-10-01 11:41:12
319f0a10-4e83-4540-b127-8c97a2022cc7,Pengguna Google,5,nice,2025-10-01 11:30:14
33f1fd3c-1b1c-4d69-826c-e19992b4727f,Pengguna Google,1,grab food nya ga bgt NO RECOMMENDED,2025-10-01 11:28:36
f2350f42-ba74-49ce-b79e-3ca7dc24e638,Pengguna Google,2,"drivernya sangat sangat tidak ramah terutama atas nama pak asri, di suruh tunggu 13 menit sampai kayak nunggu setahun, tolong drivernya di suruh sopan santun bukannya sampai mengancam mau memukul pihak resto. tolong🙏🙏",2025-10-01 11:19:20
da2a8594-807d-435c-8cf4-6aa84c3b8c1b,Pengguna Google,1,tarifnya makin mahal sekarang 🤣,2025-10-01 11:10:45
a4539f07-1ac0-401f-a79c-42b510370cd2,Pengguna Google,5,transportasi yg aman dan nyaman,2025-10-01 10:49:19
8808b499-180b-440f-bbf9-6c861c61aec0,Pengguna Google,5,bagus,2025-10-01 10:49:11
c28b9a19-08e4-4291-8965-812b006b7e1e,Pengguna Google,1,"lu ngiklan dimana mana, ampe disearch play store juga ganggu gua nyari aplikasi aja",2025-10-01 10:49:05
8d35cb12-2f12-4567-8073-510f9533047c,Pengguna Google,5,sangat bagus,2025-10-01 10:42:10
1dbaca0e-c4bf-44b5-bdeb-34c6fddec06f,Pengguna Google,5,aplikasi yg sangat amat membantu disaat lagi mager,2025-10-01 10:36:39
df4b02d1-e10b-4406-ae2b-3e4251bf4705,Pengguna Google,5,bagus sekali,2025-10-01 10:33:54
f9096b9c-ea3d-4f20-975e-45742a60e332,Pengguna Google,5,aplikasi terbaik,2025-10-01 10:17:46
f0160a26-824a-4684-84e2-01836b880334,Pengguna Google,5,mudah dalam mencari transportasi,2025-10-01 09:55:52
99320df1-be22-4301-9ac7-a976108143c7,Pengguna Google,5,good,2025-10-01 09:51:51
7d703eec-b293-431f-b390-f81ab0fae1ac,Pengguna Google,1,"gojek jangan pelit donk SM driver/rider. kasih insentif kyk dulu LG. masa' sy pesan lebih 30 menit ga ada yg ambil order sy. motor mobil berbagai prioritas, ga ada yg ambil",2025-10-01 09:33:58
4f4c78c4-bee1-4ae7-a9b9-98e69555b968,Pengguna Google,5,semoga lebih murah lagi aamiin...,2025-10-01 09:32:44
2bfab2a4-30c4-4324-9bcc-04b091ee7e5c,Pengguna Google,5,"overall bagus , terutama gofood yang promo nya luar biasa. goodjob Gojek 👍",2025-10-01 09:27:31
14effe02-ba91-4c9a-8b46-f4a0f86eb448,Pengguna Google,5,ok,2025-10-01 09:21:59
33889324-ed89-409f-8715-5dbf664e766b,Pengguna Google,2,"aplikasi asuuu, udah gak ada promo, nggojek jauh d batalinnn apa mksudnyaaa, kalau gak mauu kerja pecat lngsung d apliksiiiii",2025-10-01 09:17:32
